HCPCS Code,Cigna
99214,FALSE
99213,FALSE
99232,FALSE
J0178,TRUE
99233,FALSE
99223,FALSE
A0427,FALSE
99285,FALSE
99204,FALSE
92014,FALSE
97110,FALSE
99215,FALSE
99291,FALSE
J2778,TRUE
99203,FALSE
J9271,TRUE
A0429,FALSE
A0425,FALSE
J0897,TRUE
A0428,FALSE
G0439,FALSE
93306,FALSE
99222,FALSE
J9312,TRUE
99309,FALSE
J9299,TRUE
99308,FALSE
97530,FALSE
J0129,TRUE
90837,FALSE
97140,FALSE
90960,FALSE
J1745,TRUE
99284,FALSE
92012,FALSE
99205,FALSE
97112,FALSE
98941,FALSE
99239,FALSE
J2505,TRUE
J9035,TRUE
17311,FALSE
G6015,FALSE
99212,FALSE
90662,FALSE
88305,FALSE
90834,FALSE
J0717,TRUE
J9355,TRUE
90670,FALSE
80053,FALSE
J9145,TRUE
A0431,TRUE
92004,FALSE
11721,FALSE
G0483,FALSE
17000,FALSE
92134,FALSE
99220,FALSE
74177,TRUE
81408,TRUE
J1602,TRUE
93880,FALSE
80061,FALSE
J0585,TRUE
84443,FALSE
99231,FALSE
96413,FALSE
17110,FALSE
85025,FALSE
93229,FALSE
81528,FALSE
70450,TRUE
99306,FALSE
G0008,FALSE
J9217,FALSE
J2357,TRUE
J9305,TRUE
J9041,FALSE
J1300,TRUE
J2350,TRUE
J7605,FALSE
99310,FALSE
J9022,TRUE
99336,FALSE
82306,FALSE
80307,FALSE
77427,TRUE
J1569,TRUE
81479,TRUE
93000,FALSE
G9678,FALSE
17312,FALSE
J7686,FALSE
J3262,TRUE
92083,FALSE
74176,TRUE
99238,FALSE
G0438,FALSE
A7030,FALSE
J9173,TRUE
99221,FALSE
99202,FALSE
92250,FALSE
99490,FALSE
J3285,FALSE
90961,FALSE
A4352,FALSE
90732,FALSE
J2353,FALSE
J3380,TRUE
J1559,TRUE
R0070,FALSE
93010,FALSE
77067,FALSE
99283,FALSE
83036,FALSE
A4253,TRUE
93970,FALSE
G0482,FALSE
98940,FALSE
90653,FALSE
A4351,FALSE
J3357,TRUE
J1930,FALSE
J1817,FALSE
96372,FALSE
A7031,FALSE
99496,FALSE
J9264,FALSE
99497,FALSE
71045,FALSE
J1561,TRUE
36415,FALSE
J7518,FALSE
A0436,FALSE
J7324,TRUE
0191T,TRUE
92928,FALSE
Q2043,TRUE
93458,TRUE
99349,FALSE
99305,FALSE
J7192,TRUE
11056,FALSE
90832,FALSE
J2785,FALSE
A7034,FALSE
J9047,TRUE
J9228,TRUE
J0881,TRUE
97161,FALSE
J9306,TRUE
J0885,TRUE
J7606,FALSE
J2796,TRUE
J9395,FALSE
17004,FALSE
93925,FALSE
81162,TRUE
A7032,FALSE
97162,FALSE
95811,FALSE
99495,FALSE
71275,TRUE
A9555,FALSE
71250,TRUE
A9500,FALSE
90791,FALSE
66984,FALSE
99335,FALSE
G0249,TRUE
G0480,FALSE
95165,FALSE
99217,FALSE
17003,FALSE
99307,FALSE
J2323,TRUE
J7327,TRUE
J1568,TRUE
87798,FALSE
71260,TRUE
92133,FALSE
A0426,FALSE
J7626,FALSE
J9034,FALSE
93971,FALSE
G0481,FALSE
99337,FALSE
G6012,FALSE
71046,FALSE
J7170,TRUE
36482,TRUE
70553,TRUE
90833,FALSE
92136,FALSE
96365,FALSE
77063,FALSE
95810,FALSE
99219,FALSE
G0402,FALSE
90966,FALSE
A4604,FALSE
90792,FALSE
81519,FALSE
88307,FALSE
95886,FALSE
Q0513,FALSE
78452,TRUE
J1439,TRUE
J7325,TRUE
J2507,TRUE
99350,FALSE
J7326,TRUE
17313,FALSE
G0283,FALSE
90935,FALSE
88341,FALSE
J9311,TRUE
A0434,FALSE
70551,TRUE
11103,FALSE
83970,FALSE
11720,FALSE
A7033,FALSE
J2182,TRUE
A9606,TRUE
72125,TRUE
69210,FALSE
33208,TRUE
A0433,FALSE
82607,FALSE
77014,TRUE
J9354,TRUE
84153,FALSE
A9552,FALSE
J9055,TRUE
93015,FALSE
97116,FALSE
J0517,TRUE
G0180,FALSE
80048,FALSE
33249,TRUE
J7205,TRUE
65778,FALSE
72148,TRUE
A6010,FALSE
J7320,TRUE
99292,FALSE
A5500,FALSE
J9042,TRUE
33285,TRUE
93656,TRUE
J0490,TRUE
96401,FALSE
A0430,TRUE
J3490,TRUE
P9603,FALSE
A4353,FALSE
99211,FALSE
J9176,TRUE
Q5111,TRUE
97113,FALSE
97535,FALSE
J7340,FALSE
97597,FALSE
78815,TRUE
J7323,TRUE
J1555,TRUE
J9308,TRUE
G6013,FALSE
Q5108,TRUE
Q4186,FALSE
J0775,TRUE
81317,TRUE
J7527,FALSE
88342,FALSE
93280,FALSE
J1575,TRUE
Q0138,TRUE
J9043,TRUE
64636,TRUE
94060,FALSE
84439,FALSE
J9301,TRUE
J7507,FALSE
77263,TRUE
A7035,FALSE
A9502,FALSE
98942,FALSE
J7312,TRUE
22513,TRUE
A6196,FALSE
J7201,TRUE
77523,TRUE
G0009,FALSE
11055,FALSE
A4224,FALSE
J7517,FALSE
J7308,FALSE
27096,TRUE
A7038,FALSE
92557,FALSE
81201,TRUE
J1459,TRUE
J9303,TRUE
J7189,TRUE
G0181,FALSE
99225,FALSE
90836,FALSE
95004,FALSE
87086,FALSE
36465,TRUE
70496,TRUE
70498,TRUE
93351,TRUE
J7503,FALSE
82728,FALSE
96910,FALSE
J7328,TRUE
93978,FALSE
99316,FALSE
95816,FALSE
17262,FALSE
90682,FALSE
81298,TRUE
81406,TRUE
93923,FALSE
99348,FALSE
11104,FALSE
99183,FALSE
77373,TRUE
77301,FALSE
11730,FALSE
93922,FALSE
J7677,FALSE
J7195,TRUE
V2785,TRUE
90962,FALSE
96367,FALSE
A6197,FALSE
77334,TRUE
52442,FALSE
92235,FALSE
94729,FALSE
74178,TRUE
A5512,FALSE
93312,FALSE
95911,FALSE
J2469,FALSE
31500,FALSE
27447,TRUE
Q0092,FALSE
J9999,TRUE
95819,FALSE
J3590,TRUE
J7202,TRUE
93294,FALSE
83880,FALSE
J7999,FALSE
82746,FALSE
J7321,TRUE
99226,FALSE
93975,FALSE
94010,FALSE
85610,FALSE
76770,FALSE
A4407,FALSE
G0444,FALSE
J3304,TRUE
G0101,FALSE
99354,FALSE
A0435,TRUE
99152,FALSE
G0179,FALSE
A6021,FALSE
93460,TRUE
96133,FALSE
97164,FALSE
90868,TRUE
J7207,TRUE
93296,FALSE
A4385,FALSE
J0185,FALSE
87633,FALSE
84403,FALSE
77336,TRUE
J7639,FALSE
90686,FALSE
91110,TRUE
36907,FALSE
Q5103,TRUE
99304,FALSE
J1599,TRUE
64484,TRUE
81490,FALSE
74174,TRUE
A4409,FALSE
36466,TRUE
99334,FALSE
86235,FALSE
72141,TRUE
49083,FALSE
R0075,FALSE
74183,TRUE
J9025,FALSE
A9588,FALSE
87186,FALSE
77300,TRUE
A5513,FALSE
92941,TRUE
95117,FALSE
93295,FALSE
81599,TRUE
A4222,FALSE
A7037,FALSE
99236,FALSE
95910,FALSE
36247,FALSE
76705,FALSE
A6550,FALSE
G0103,FALSE
51798,FALSE
92507,FALSE
J7318,TRUE
84481,FALSE
93653,TRUE
96415,FALSE
73721,TRUE
97163,FALSE
93459,TRUE
82570,FALSE
36620,FALSE
11057,FALSE
96417,FALSE
93454,TRUE
77295,TRUE
51728,FALSE
99487,FALSE
93886,FALSE
85027,FALSE
G0260,TRUE
81295,TRUE
96132,FALSE
77338,TRUE
92020,FALSE
77435,TRUE
81001,FALSE
55874,TRUE
93613,FALSE
83735,FALSE
Q0511,FALSE
Q5101,TRUE
64566,TRUE
87507,FALSE
J9179,FALSE
76942,FALSE
J1453,FALSE
Q5106,TRUE
82043,FALSE
95913,FALSE
96375,FALSE
93224,FALSE
83550,FALSE
76700,FALSE
J3301,FALSE
94726,FALSE
93016,FALSE
77065,FALSE
88309,FALSE
72131,TRUE
99358,FALSE
92960,FALSE
36471,FALSE
Q0091,FALSE
97035,FALSE
17314,FALSE
77066,FALSE
Q0512,FALSE
83540,FALSE
77525,TRUE
J9205,FALSE
88173,FALSE
J7187,TRUE
A5514,FALSE
72158,TRUE
37231,TRUE
87804,FALSE
88331,FALSE
87088,FALSE
97150,FALSE
45385,FALSE
27130,TRUE
87801,FALSE
99356,FALSE
21215,TRUE
Q4133,TRUE
J7682,FALSE
