,HCPCS Code,United
0,99214,False
1,99213,False
2,99232,False
3,J0178,True
4,99233,False
5,99223,False
6,A0427,False
7,99285,False
8,99204,False
9,92014,False
10,97110,False
11,99215,False
12,99291,False
13,J2778,True
14,99203,False
15,J9271,True
16,A0429,False
17,A0425,False
18,J0897,True
19,A0428,False
20,G0439,False
21,93306,False
22,99222,False
23,J9312,True
24,99309,False
25,J9299,True
26,99308,False
27,97530,False
28,J0129,False
29,90837,False
30,97140,False
31,90960,False
32,J1745,True
33,99284,False
34,92012,False
35,99205,True
36,97112,False
37,98941,False
38,99239,False
39,J2505,True
40,J9035,True
41,17311,False
42,G6015,True
43,99212,False
44,90662,False
45,88305,False
46,90834,False
47,J0717,False
48,J9355,True
49,90670,False
50,80053,False
51,J9145,True
52,A0431,True
53,92004,False
54,11721,False
55,G0483,False
56,17000,False
57,92134,False
58,99220,False
59,74177,False
60,81408,False
61,J1602,False
62,93880,False
63,80061,False
64,J0585,False
65,84443,False
66,99231,False
67,96413,False
68,17110,False
69,85025,False
70,93229,False
71,81528,False
72,70450,False
73,99306,False
74,G0008,False
75,J9217,True
76,J2357,False
77,J9305,True
78,J9041,True
79,J1300,True
80,J2350,False
81,J7605,False
82,99310,False
83,J9022,True
84,99336,False
85,82306,False
86,80307,False
87,77427,False
88,J1569,False
89,81479,False
90,93000,False
91,G9678,False
92,17312,False
93,J7686,False
94,J3262,False
95,92083,False
96,74176,False
97,99238,False
98,G0438,False
99,A7030,False
100,J9173,True
101,99221,False
102,99202,False
103,92250,False
104,99490,False
105,J3285,False
106,90961,False
107,A4352,False
108,90732,False
109,J2353,False
110,J3380,False
111,J1559,False
112,R0070,False
113,93010,False
114,77067,False
115,99283,False
116,83036,False
117,A4253,False
118,93970,False
119,G0482,False
120,98940,False
121,90653,False
122,A4351,False
123,J3357,False
124,J1930,False
125,J1817,False
126,96372,False
127,A7031,False
128,99496,False
129,J9264,True
130,99497,False
131,71045,False
132,J1561,False
133,36415,False
134,J7518,False
135,A0436,True
136,J7324,True
137,0191T,False
138,92928,False
139,Q2043,False
140,93458,False
141,99349,False
142,99305,False
143,J7192,False
144,11056,False
145,90832,False
146,J2785,False
147,A7034,False
148,J9047,True
149,J9228,True
150,J0881,True
151,97161,False
152,J9306,True
153,J0885,True
154,J7606,False
155,J2796,False
156,J9395,True
157,17004,False
158,93925,False
159,81162,False
160,A7032,False
161,97162,False
162,95811,False
163,99495,False
164,71275,False
165,A9555,False
166,71250,False
167,A9500,False
168,90791,False
169,66984,False
170,99335,False
171,G0249,False
172,G0480,False
173,95165,False
174,99217,False
175,17003,False
176,99307,False
177,J2323,False
178,J7327,True
179,J1568,False
180,87798,False
181,71260,False
182,92133,False
183,A0426,False
184,J7626,False
185,J9034,True
186,93971,False
187,G0481,False
188,99337,False
189,G6012,False
190,71046,False
191,J7170,False
192,36482,False
193,70553,False
194,90833,False
195,92136,False
196,96365,False
197,77063,False
198,95810,False
199,99219,False
200,G0402,False
201,90966,False
202,A4604,False
203,90792,False
204,81519,False
205,88307,False
206,95886,False
207,Q0513,False
208,78452,True
209,J1439,False
210,J7325,False
211,J2507,False
212,99350,False
213,J7326,True
214,17313,False
215,G0283,False
216,90935,False
217,88341,False
218,J9311,True
219,A0434,False
220,70551,False
221,11103,False
222,83970,False
223,11720,False
224,A7033,False
225,J2182,False
226,A9606,True
227,72125,False
228,69210,False
229,33208,False
230,A0433,False
231,82607,False
232,77014,False
233,J9354,True
234,84153,False
235,A9552,False
236,J9055,True
237,93015,False
238,97116,False
239,J0517,False
240,G0180,False
241,80048,False
242,33249,False
243,J7205,False
244,65778,False
245,72148,False
246,A6010,False
247,J7320,True
248,99292,False
249,A5500,False
250,J9042,True
251,33285,False
252,93656,True
253,J0490,False
254,96401,False
255,A0430,True
256,J3490,True
257,P9603,False
258,A4353,False
259,99211,False
260,J9176,True
261,Q5111,True
262,97113,False
263,97535,False
264,J7340,False
265,97597,False
266,78815,True
267,J7323,True
268,J1555,False
269,J9308,True
270,G6013,False
271,Q5108,True
272,Q4186,False
273,J0775,False
274,81317,False
275,J7527,False
276,88342,False
277,93280,False
278,J1575,False
279,Q0138,False
280,J9043,True
281,64636,False
282,94060,False
283,84439,False
284,J9301,True
285,J7507,False
286,77263,False
287,A7035,False
288,A9502,False
289,98942,False
290,J7312,False
291,22513,False
292,A6196,False
293,J7201,False
294,77523,False
295,G0009,False
296,11055,False
297,A4224,False
298,J7517,False
299,J7308,False
300,27096,False
301,A7038,False
302,92557,False
303,81201,False
304,J1459,False
305,J9303,True
306,J7189,False
307,G0181,False
308,99225,False
309,90836,False
310,95004,False
311,87086,False
312,36465,False
313,70496,False
314,70498,False
315,93351,False
316,J7503,False
317,82728,False
318,96910,False
319,J7328,False
320,93978,False
321,99316,False
322,95816,False
323,17262,False
324,90682,False
325,81298,False
326,81406,False
327,93923,False
328,99348,False
329,11104,False
330,99183,False
331,77373,True
332,77301,False
333,11730,False
334,93922,False
335,J7677,False
336,J7195,False
337,V2785,False
338,90962,False
339,96367,False
340,A6197,False
341,77334,False
342,52442,True
343,92235,False
344,94729,False
345,74178,False
346,A5512,False
347,93312,False
348,95911,False
349,J2469,False
350,31500,False
351,27447,True
352,Q0092,False
353,J9999,True
354,95819,False
355,J3590,True
356,J7202,False
357,93294,False
358,83880,False
359,J7999,False
360,82746,False
361,J7321,True
362,99226,False
363,93975,False
364,94010,False
365,85610,False
366,76770,False
367,A4407,False
368,G0444,False
369,J3304,False
370,G0101,False
371,99354,False
372,A0435,True
373,99152,False
374,G0179,False
375,A6021,False
376,93460,False
377,96133,False
378,97164,False
379,90868,False
380,J7207,False
381,93296,False
382,A4385,False
383,J0185,False
384,87633,False
385,84403,False
386,77336,False
387,J7639,False
388,90686,False
389,91110,False
390,36907,False
391,Q5103,False
392,99304,False
393,J1599,False
394,64484,False
395,81490,False
396,74174,False
397,A4409,False
398,36466,False
399,99334,False
400,86235,False
401,72141,False
402,49083,False
403,R0075,False
404,74183,False
405,J9025,True
406,A9588,False
407,87186,False
408,77300,False
409,A5513,False
410,92941,False
411,95117,False
412,93295,False
413,81599,False
414,A4222,False
415,A7037,False
416,99236,False
417,95910,False
418,36247,False
419,76705,False
420,A6550,False
421,G0103,False
422,51798,False
423,92507,True
424,J7318,False
425,84481,False
426,93653,True
427,96415,False
428,73721,False
429,97163,False
430,93459,False
431,82570,False
432,36620,False
433,11057,False
434,96417,False
435,93454,False
436,77295,False
437,51728,True
438,99487,False
439,93886,False
440,85027,False
441,G0260,False
442,81295,False
443,96132,False
444,77338,False
445,92020,False
446,77435,False
447,81001,False
448,55874,True
449,93613,False
450,83735,False
451,Q0511,False
452,Q5101,True
453,64566,False
454,87507,False
455,J9179,True
456,76942,False
457,J1453,False
458,Q5106,False
459,82043,False
460,95913,False
461,96375,False
462,93224,False
463,83550,False
464,76700,False
465,J3301,False
466,94726,False
467,93016,False
468,77065,False
469,88309,False
470,72131,False
471,99358,False
472,92960,False
473,36471,False
474,Q0091,False
475,97035,False
476,17314,False
477,77066,False
478,Q0512,False
479,83540,False
480,77525,False
481,J9205,True
482,88173,False
483,J7187,False
484,A5514,False
485,72158,False
486,37231,False
487,87804,False
488,88331,False
489,87088,False
490,97150,False
491,45385,False
492,27130,True
493,87801,False
494,99356,False
495,21215,True
496,Q4133,False
497,J7682,False
498,G0127,False
499,64615,False
500,51729,True
501,88189,False
502,J0256,False
503,J9070,True
504,93298,False
505,90853,False
506,Q2050,False
507,81595,False
508,95912,False
509,J7520,False
510,93284,False
511,87077,False
512,73221,False
513,43274,False
514,J1097,False
515,93926,False
516,88312,False
517,J1040,False
518,96920,False
519,90674,False
520,11301,False
521,88360,False
522,A6212,False
523,76642,False
524,J0702,False
525,73502,False
526,82784,False
527,J1325,False
528,J0878,False
529,93018,False
530,19081,False
531,A4414,False
532,A7046,False
533,88112,False
534,J0894,False
535,90847,False
536,G0498,False
537,81407,False
538,G6002,False
539,88321,False
540,Q5107,False
541,36215,False
542,95909,False
543,93793,False
544,92002,False
545,74018,False
546,99315,False
547,J1030,False
548,70486,False
549,J9023,True
550,64447,False
551,86003,False
552,Q4160,False
553,G0279,False
554,P9604,False
555,Q4196,False
556,33264,False
557,J7322,True
558,G0471,False
559,J7620,False
560,87481,False
561,J7198,False
562,83861,False
563,17261,False
564,70491,False
565,33225,False
566,0449T,False
567,81541,False
568,G0340,True
569,J1301,True
570,93283,False
571,Q5104,False
572,A4623,False
573,81003,False
574,72197,False
575,96137,False
576,A9584,False
577,22515,False
578,A4225,False
579,84550,False
580,99218,False
581,95923,False
582,64634,False
583,33228,False
584,17111,False
585,93308,False
586,52441,True
587,31579,False
588,99345,False
589,95957,False
590,77012,False
591,99235,False
592,J0588,False
593,G0442,False
594,96116,False
595,A4425,False
596,17282,False
597,93890,False
598,73700,False
599,45380,False
600,Q0508,False
601,77080,False
602,J0221,False
603,G0453,False
604,J9155,True
605,51797,False
606,J9033,True
607,87799,False
608,37248,False
609,76536,False
610,J7190,False
611,87150,False
612,10005,False
613,95024,False
614,J1442,True
615,27235,False
616,99282,False
617,77522,False
618,90870,False
619,43239,True
620,86480,False
621,51705,False
622,A9513,True
623,80076,False
624,A6023,False
625,90945,False
626,92567,False
627,93976,False
628,96139,False
629,93655,False
630,92950,False
631,J9039,True
632,G0277,False
633,97165,False
634,73030,False
635,11302,False
636,J7185,False
637,J0475,False
638,J0875,False
639,J7313,False
640,17272,False
641,17281,False
642,86140,False
643,64415,False
644,93990,False
645,G0416,False
646,J0180,False
647,17250,False
648,99344,False
649,70544,False
650,29580,False
651,81432,False
652,81404,False
653,92933,False
654,J3245,False
655,51702,False
656,90756,False
657,37243,True
658,53854,False
659,J9119,True
660,Q5117,False
661,96402,False
662,84460,False
663,25600,False
664,87536,False
665,94727,False
666,93297,False
667,G0145,False
668,51700,False
669,A5063,False
670,96366,False
671,77290,False
672,97124,False
673,A4419,False
674,J7699,False
675,96574,False
676,81226,False
677,Q4074,False
678,38222,False
679,69100,False
680,V2020,False
681,J9280,True
682,A4362,False
683,75635,False
684,95250,False
685,81521,False
686,92526,False
687,11900,False
688,99327,False
689,81002,False
690,90838,False
691,72146,False
692,82378,False
693,96130,False
694,72100,False
695,G0166,False
696,J1627,False
697,93271,False
698,88313,False
699,64616,False
700,J1566,False
701,J7200,False
702,Q9967,False
703,84480,False
704,G0472,False
705,82550,False
706,81405,False
707,90688,False
708,G0328,False
709,36224,False
710,92920,False
711,11311,False
712,96374,False
713,72156,False
714,81321,False
715,80305,False
716,J7613,False
717,43264,False
718,Q4169,False
719,62370,False
720,82670,False
721,36245,False
722,94640,False
723,99483,False
724,97032,False
725,83615,False
726,99347,False
727,36246,False
728,76641,False
729,92937,False
730,87880,False
731,J7179,False
732,81324,False
733,93892,False
734,J0202,False
735,A6252,False
736,J7211,False
737,86038,False
738,81551,False
739,81292,False
740,87502,False
