,Unnamed: 0,HCPCS Code,Description,AETNA,CIGNA,HUMANA (Current),HUMANA (2020),HUMANA (2019),UNITED,>90% Agree,>85% Agree,>55% Agree,>51% Agree,WELLCARE BINARY,AETNA BINARY,Num Insurers That Require PR,At Least One Require Prior Auth,All Require Prior Auth,ndc_code,j_code,drug_id,HCPCS Category,sub_category_id,multum_category_id,multum_category_name,sub_category_name,CPT Category,PERCENT OF SPENDING,Category,Therapeutic_area
12642,12642,100,Anesth salivary gland,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12643,12643,102,Anesth repair of cleft lip,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12644,12644,103,Anesth blepharoplasty,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12645,12645,104,Anesth electroshock,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12649,12649,120,Anesth ear surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12650,12650,124,Anesth ear exam,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12651,12651,126,Anesth tympanotomy,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12653,12653,140,Anesth procedures on eye,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12654,12654,142,Anesth lens surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12655,12655,144,Anesth corneal transplant,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12656,12656,145,Anesth vitreoretinal surg,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12657,12657,147,Anesth iridectomy,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12658,12658,148,Anesth eye exam,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12660,12660,160,Anesth nose/sinus surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12661,12661,162,Anesth nose/sinus surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12662,12662,164,Anesth biopsy of nose,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12663,12663,170,Anesth procedure on mouth,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12664,12664,172,Anesth cleft palate repair,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12665,12665,174,Anesth pharyngeal surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12666,12666,176,Anesth pharyngeal surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12667,12667,190,Anesth face/skull bone surg,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
